Tokens: 

<"delimitador de comentario", "/*", 1>
<"delimitador de comentario", "//", 2>
<"identificador", "teste08", 2>
<"operador aritmetico", "-", 2>
<"identificador", "sem", 2>
<"identificador", "erros", 2>
<"palavra reservada", "const", 3>
<"palavra reservada", "int", 3>
<"identificador", "MAX", 3>
<"operador relacional", "=", 3>
<"delimitador", ",", 3>
<"identificador", "MAX2", 3>
<"operador relacional", "=", 3>
<"delimitador", ";", 3>
<"palavra reservada", "string", 5>
<"identificador", "Mensagem", 5>
<"operador relacional", "=", 5>
<"identificador", ""Hello", 5>
<"cadeia de caracteres", "world"", 5>
<"delimitador", ";", 5>
<"palavra reservada", "procedure", 7>
<"palavra reservada", "start", 7>
<"delimitador", "{", 7>
<"delimitador de comentario", "//", 7>
<"identificador", "comeca", 7>
<"identificador", "aqui", 7>
<"identificador", "o", 7>
<"identificador", "programa", 7>
<"identificador", "principal", 7>
<"palavra reservada", "int", 9>
<"identificador", "idade", 9>
<"delimitador", ";", 9>
<"palavra reservada", "string", 10>
<"identificador", "nome", 10>
<"delimitador", ";", 10>
<"palavra reservada", "print", 12>
<"delimitador", "(", 12>
<"identificador", ""Digite", 12>
<"identificador", "o", 12>
<"cadeia de caracteres", "nome"", 12>
<"delimitador", ")", 12>
<"delimitador", ";", 12>
<"palavra reservada", "read", 13>
<"delimitador", "(", 13>
<"identificador", "nome", 13>
<"delimitador", ")", 13>
<"delimitador", ";", 13>
<"palavra reservada", "print", 14>
<"delimitador", "(", 14>
<"identificador", ""Digite", 14>
<"identificador", "a", 14>
<"cadeia de caracteres", "idade"", 14>
<"delimitador", ")", 14>
<"delimitador", ";", 14>
<"palavra reservada", "read", 15>
<"delimitador", "(", 15>
<"identificador", "idade", 15>
<"delimitador", ")", 15>
<"delimitador", ";", 15>
<"palavra reservada", "if", 17>
<"delimitador", "(", 17>
<"identificador", "idade", 17>
<"operador relacional", ">=", 17>
<"delimitador", ")", 17>
<"palavra reservada", "print", 17>
<"delimitador", "(", 17>
<"identificador", ""pode", 17>
<"identificador", "aposentar", 17>
<"cadeia de caracteres", "kkkk"", 17>
<"delimitador", ")", 17>
<"delimitador", ";", 17>
<"palavra reservada", "else", 18>
<"delimitador", "{", 18>
<"palavra reservada", "print", 19>
<"delimitador", "(", 19>
<"identificador", ""vai", 19>
<"cadeia de caracteres", "trabalhar"", 19>
<"delimitador", ")", 19>
